system,pair_id,version,gold,verdict,correct,confidence,final_parse_failed,any_stage_parse_failed,upstream_parse_failed,num_findings,total_completion_tokens,total_prompt_tokens,total_tokens,total_seconds
self_refine,secvuleval::18219::b4cb8320ffe6,vulnerable,vulnerable,fixed,False,0.9,False,False,False,0,638,5431,6069,56.37828582300051
self_refine,secvuleval::18219::b4cb8320ffe6,fixed,fixed,vulnerable,False,0.5,False,False,False,1,743,5386,6129,64.23851020499956
self_refine,secvuleval::11455::844bead51a69,vulnerable,vulnerable,vulnerable,True,0.5,False,False,False,1,715,5579,6294,61.826805128000046
self_refine,secvuleval::11455::844bead51a69,fixed,fixed,fixed,True,0.9,False,False,False,0,625,5903,6528,55.25233747700008
self_refine,secvuleval::18748::3fea4a4d925b,vulnerable,vulnerable,fixed,False,0.5,False,False,False,0,366,2914,3280,31.631404540999597
self_refine,secvuleval::18748::3fea4a4d925b,fixed,fixed,fixed,True,0.5,False,False,False,0,479,3058,3537,40.72582121300013
self_refine,secvuleval::11426::3de3ef49d8f0,vulnerable,vulnerable,fixed,False,0.5,False,False,False,0,643,5845,6488,56.44057463800016
self_refine,secvuleval::11426::3de3ef49d8f0,fixed,fixed,fixed,True,0.5,False,False,False,0,615,5997,6612,54.873302063999745
self_refine,secvuleval::14943::019747ed7c1d,vulnerable,vulnerable,vulnerable,True,0.5,False,False,False,1,676,2915,3591,57.07579727299981
self_refine,secvuleval::14943::019747ed7c1d,fixed,fixed,vulnerable,False,0.5,False,False,False,1,764,3292,4056,64.17304048600033
self_refine,secvuleval::10678::34cbd054a25e,vulnerable,vulnerable,vulnerable,True,0.5,False,False,False,1,780,6084,6864,68.39154118999988
self_refine,secvuleval::10678::34cbd054a25e,fixed,fixed,vulnerable,False,0.5,False,False,False,1,755,5990,6745,66.52981749499997
self_refine,secvuleval::14376::d5e26da1d527,vulnerable,vulnerable,vulnerable,True,0.5,False,False,False,1,730,3322,4052,61.943258460000266
self_refine,secvuleval::14376::d5e26da1d527,fixed,fixed,vulnerable,False,0.5,False,False,False,1,788,3415,4203,66.00705309600005
self_refine,secvuleval::17484::312c0856cf56,vulnerable,vulnerable,vulnerable,True,0.5,False,False,False,1,774,5349,6123,67.09305956600019
self_refine,secvuleval::17484::312c0856cf56,fixed,fixed,vulnerable,False,0.5,False,False,False,1,771,5346,6117,67.06108426600008
self_refine,secvuleval::18494::1660fc139a87,vulnerable,vulnerable,fixed,False,0.95,False,False,False,0,304,13292,13596,41.74828084500041
self_refine,secvuleval::18494::1660fc139a87,fixed,fixed,vulnerable,False,0.5,False,False,False,1,463,14105,14568,57.08560117600041
self_refine,secvuleval::18098::c6aebee315c5,vulnerable,vulnerable,vulnerable,True,0.5,False,False,False,1,732,6285,7017,64.92498982299958
self_refine,secvuleval::18098::c6aebee315c5,fixed,fixed,vulnerable,False,0.5,False,False,False,1,774,6337,7111,68.28390645600007
self_refine,secvuleval::15354::9995379f1b42,vulnerable,vulnerable,vulnerable,True,0.5,False,False,False,1,753,2889,3642,63.34060076900005
self_refine,secvuleval::15354::9995379f1b42,fixed,fixed,vulnerable,False,0.5,False,False,False,1,764,2580,3344,63.907385906999934
self_refine,secvuleval::6700::8c36a5b0fb7c,vulnerable,vulnerable,vulnerable,True,0.9,False,False,False,1,607,2057,2664,50.880547049999905
self_refine,secvuleval::6700::8c36a5b0fb7c,fixed,fixed,vulnerable,False,0.5,False,False,False,1,838,3522,4360,70.38537857600022
self_refine,secvuleval::6922::5af57658cd6f,vulnerable,vulnerable,vulnerable,True,0.5,False,False,False,1,730,2537,3267,61.009259367999675
self_refine,secvuleval::6922::5af57658cd6f,fixed,fixed,vulnerable,False,0.5,False,False,False,1,735,2537,3272,61.23519961600027
self_refine,secvuleval::14657::d1de238ba3ac,vulnerable,vulnerable,fixed,False,0.5,False,False,False,0,644,3192,3836,54.335870787000204
self_refine,secvuleval::14657::d1de238ba3ac,fixed,fixed,vulnerable,False,0.5,False,False,False,1,767,2947,3714,64.5666008599992
self_refine,secvuleval::9186::ad4483f76579,vulnerable,vulnerable,vulnerable,True,0.9,False,False,False,1,585,1989,2574,49.11167652200015
self_refine,secvuleval::9186::ad4483f76579,fixed,fixed,vulnerable,False,0.5,False,False,False,1,492,2828,3320,41.58315649700012
self_refine,secvuleval::6718::bd652884ca87,vulnerable,vulnerable,vulnerable,True,0.5,False,False,False,1,971,3762,4733,81.50997920500049
self_refine,secvuleval::6718::bd652884ca87,fixed,fixed,fixed,True,0.95,False,False,False,0,641,3790,4431,54.36434998500022
self_refine,secvuleval::14485::13f3cb72582d,vulnerable,vulnerable,vulnerable,True,0.9,False,False,False,1,767,2324,3091,63.89409738399968
